method,ami_median,ami_min,ari_median,switch_median,switch_max,share_never_switch,share_switch_gt3,n_events,min_cluster_size,SW,CH,S_Dbw,AVI,AVU,ANUI,MQ,Q,K_mean,K,sec,alpha_mean,beta_mean,xi,reset_share
kefrin_warm,0.903050174555598,0.8663932591492053,0.9450996777445752,0.022817460317460316,0.036210317460317464,0.8621031746031746,0.07142857142857142,0,168,0.23067152330377216,492.3783787801531,0.8008339336161198,0.8128056118354117,0.5253009125883316,0.5696136121293899,3.2512224473416467,0.5379411119329057,4.0,4,5.4,0.0,0.0,271.15470862661334,0.0
kefrin_fixed0.5,0.9509259417449067,0.918999236481775,0.9743950886002152,0.010912698412698412,0.019345238095238096,0.8903769841269841,0.02132936507936508,0,165,0.23205316625707614,491.415598781018,0.8020651882154234,0.8098597856788402,0.5256948663344955,0.5680530446520285,3.239439142715361,0.5363067480679473,4.0,4,5.1,0.5,0.5,271.15470862661334,0.0
kefrin_t_affect,0.9431162635386358,0.8984675326937325,0.9708122827724645,0.011904761904761904,0.0248015873015873,0.8878968253968254,0.025297619047619048,0,165,0.23198988093791828,491.4676347477808,0.8024674773899592,0.8117840664436559,0.5251727495249657,0.5691660258246186,3.2471362657746234,0.5369901796192369,4.0,4,8.3,0.4773467185553591,0.12076552041553631,271.15470862661334,0.0
kefrin_t_affect_fe_noreset,0.9705573603445995,0.8967241373370879,0.9850407009724574,0.005952380952380952,0.029265873015873016,0.8993055555555556,0.008928571428571428,0,167,0.22946793007082067,490.2815667150703,0.804747227543274,0.8106351951747732,0.5281421328181954,0.5676286552223779,3.242540780699093,0.5339731803850535,4.0,4,7.5,0.6455549461058773,0.9177927286902547,271.15470862661334,0.0
kefrin_t_affect_fe,0.948510518348744,0.8894239570563277,0.9730089504563215,0.011408730158730158,0.026785714285714284,0.8883928571428571,0.02628968253968254,0,170,0.23110096602800012,490.8265852518968,0.8036016461726919,0.8079964141786364,0.5227120875677536,0.5680805332420712,3.2319856567145457,0.5335934243795715,4.0,4,8.6,0.7053534512738114,0.881794349769045,271.15470862661334,0.28726438492063494
kefrin_warm,0.8554083312631737,0.821978035599299,0.8623175322187226,0.05357142857142857,0.07093253968253968,0.6949404761904762,0.14930555555555555,0,112,0.16451374115472173,388.786230321529,0.7573360409664787,0.6968696743754039,0.48308884919048384,0.5213741317545987,4.181218046252423,0.5367872565333428,6.0,6,7.6,0.0,0.0,271.15470862661334,0.0
kefrin_fixed0.5,0.9320265550180563,0.8942512871846997,0.945210454925822,0.020833333333333332,0.03720238095238095,0.7976190476190477,0.042162698412698416,0,113,0.1669691761180755,387.9512376228044,0.7571667150156914,0.6798449741266405,0.48638419660908877,0.5109114221701266,4.079069844759843,0.5229645204590535,6.0,6,7.3,0.5,0.5,271.15470862661334,0.0
kefrin_t_affect,0.9258426262905951,0.8949091428876863,0.937590258729673,0.023809523809523808,0.03869047619047619,0.7847222222222222,0.054563492063492064,0,111,0.16628290275201926,387.98897406176667,0.7576106809286122,0.6847157531061449,0.4879836209779344,0.5132185423719688,4.10829451863687,0.5273537798926818,6.0,6,10.5,0.4827995963679413,0.15261235732599543,271.15470862661334,0.0
kefrin_t_affect_fe_noreset,0.9378943368723954,0.9110317310739959,0.9550628005045102,0.018353174603174604,0.02976190476190476,0.8179563492063492,0.030257936507936508,0,114,0.16686303379361647,387.47688276401345,0.7577043737930352,0.6714410978752189,0.4867152522180409,0.5060860537805443,4.0286465872513135,0.5176985188658397,6.0,6,10.3,0.5733360775980773,0.9074920361547628,271.15470862661334,0.0
kefrin_t_affect_fe,0.9318974295809208,0.8855590010380601,0.9384795521568909,0.022817460317460316,0.04265873015873016,0.7743055555555556,0.05109126984126984,0,108,0.16660279778496234,387.37528743396734,0.7587665315756444,0.680293685136368,0.4785481306781049,0.5132885695600783,4.081762110818208,0.5208310199306398,6.0,6,11.6,0.6713998379498504,0.8839493147276793,271.15470862661334,0.1878720238095238
temporal_leiden_w0.5,0.8669621482190343,0.8067442357668125,0.9058629390991345,0.03869047619047619,0.06398809523809523,0.5649801587301587,0.061507936507936505,0,0,0.12005078284811406,289.78687792697474,0.7777717936518439,0.9060197764395596,0.49623627336279713,0.6250866910529457,4.565341846143646,0.6515494363618665,5.041666666666667,5,26.8,,,,
temporal_leiden_w2.0,0.9927687062055942,0.9777828976011146,0.9968256902185502,0.000992063492063492,0.003472222222222222,0.9737103174603174,0.0,0,14,0.1569382633042983,260.25537033471255,0.767568534652349,0.888588648593534,0.42892186601442567,0.6433298799368493,4.44294324296767,0.5501600531028273,5.0,5,31.3,,,,
